 ~ Passos ~ L3 ~ L2 ~ L1 ~ T1 ~ T2 ~  
  ~ 0 ~ 0 ~ 0 ~ 3 ~ true ~ true ~  
  ~ 1 ~ 0 ~ 4 ~ 1 ~ false ~ false ~  
 
